titre,entreprise,localisation,competences_cles,niveau_etudes_requis,niveau_experience,contrat_propose,date_publication,lien
Supervisor Manufacturing - Berrechid,TECTRA CASA TERTIAIRE – RECRUTEMENT,Casablanca-Mohammedia,"['Leadership ', ' Management']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,24.01.2025,https://www.emploi.ma/offre-emploi-maroc/supervisor-manufacturing-berrechid-8734471
Cariste - Kénitra,TECTRA,Rabat-Salé-Kénitra,['Chargement'],Qualification avant bac,Débutant < 2 ans,Intérim,24.01.2025,https://www.emploi.ma/offre-emploi-maroc/cariste-kenitra-8734496
Assistante Commerciale  - Mohammedia,TECTRA,Casablanca-Mohammedia,"['Administration ', ' Assistanat ', ' Devis ', ' Prospection ', ' Prospection Téléphonique ', "" Réception d'Appels "", ' Rédaction ', ' Secrétariat ', ' Vente']",Bac+2 & Bac+3,Expérience entre 2 ans et 5 ans,CDI,24.01.2025,https://www.emploi.ma/offre-emploi-maroc/assistante-commerciale-mohammedia-8734946
Chargé(e) Portefeuille Clients  - Casablanca,BOTTU,Casablanca-Mohammedia,"['Banque ', ' Comptabilité ', ' Facturation ', ' Finance ', ' Gestion ', ' Gestion de Portefeuille ', ' Règlements des Clients']",Bac+3,Débutant < 2 ans,CDI,24.01.2025,https://www.emploi.ma/offre-emploi-maroc/chargee-portefeuille-clients-casablanca-8734949
Technicien des Equipements Process - Tanger,TECTRA TANGER – RECRUTEMENT,Tanger-Tétouan-Al Hoceïma,"['Amélioration Continue ', ' Équipement ', ' Fabrication ', ' Maintenance ', ' Process ', ' Production ', ' Qualité']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans,CDI,24.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicien-equipements-process-tanger-8735069
Opérateur Machine - Casablanca et Région,TECTRA,Casablanca-Mohammedia,"['Électromécanique ', ' Maintenance ', ' Management de la Qualité ', ' Qualité']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Intérim,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/operateur-machine-casablanca-region-8744443
Secrétaire Administrative   - Casablanca,GROUPE TECTRA,Casablanca-Mohammedia,"['Accueil Physique ', ' Assistanat ', ' Gestion du Courrier ', ' Secrétariat']",Bac+2,Expérience entre 2 ans et 5 ans,Intérim,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/secretaire-administrative-casablanca-8744437
Chargé de Portefeuille H/F - Dakhla,FONDATION ARRAWAJ,Dakhla,"['Recouvrement ', ' Vente']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/charge-portefeuille-hf-dakhla-8744369
Administrator Anglophone - Sidi Maarouf,TECTRA CASA TERTIAIRE – RECRUTEMENT,Casablanca-Mohammedia,"['Recouvrement ', ' Vente']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,Intérim,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/administrator-anglophone-sidi-maarouf-8744242
Représentant Commercial Terrain - Secteur de L’Éducation - Kénitra,CALLIOPE,Rabat-Salé-Kénitra,"['Techniques de Vente ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/representant-commercial-terrain-secteur-education-kenitra-8743821
Technicien en Construction Métallique  - Zenata,TECTRA,Casablanca-Mohammedia,"['Construction Métallique ', ' Découpage ', ' Fabrication ', ' Maintenance ', ' Production ', ' Qualité']",Bac+2,Expérience entre 2 ans et 5 ans,Intérim,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicien-construction-metallique-zenata-8743705
Coordinateur des Examens (Anglophone) - Casablanca,CALLIOPE,Casablanca-Mohammedia,"['Assistanat ', ' Comptabilité ', ' Finance ', ' Gestion ', ' Gestion Administrative ', ' Réception ', ' Secrétariat']",Bac+2 & Bac+3,Expérience entre 2 ans et 5 ans et plus,CDI,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/coordinateur-examens-anglophone-casablanca-8743684
Ingénieur Études d´Exécution en Électricité - Casablanca,B2I,Casablanca-Mohammedia,"['AUTOCAD ', ' DIALUX ', ' Génie Électrique ', ' REVIT']",Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/ingenieur-etudes-execution-electricite-casablanca-8699636
Chargé(e) de Production Assurance  - Casablanca,GROUPE TECTRA,Casablanca-Mohammedia,"['Comptabilité ', ' Gestion']",Bac+2,Expérience entre 2 ans et 5 ans,Intérim,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/chargee-production-assurance-casablanca-8733158
Soudeur - Kénitra,TECTRA,Rabat-Salé-Kénitra,"['Maintenance ', ' Production ', ' Qualité']",Qualification avant bac,Débutant < 2 ans,Intérim,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/soudeur-kenitra-8733194
Mécanicien Industriel - Casablanca Et Région,TECTRA,Casablanca-Mohammedia,"['Industrie ', ' Maintenance ', ' Maintenance Industrielle ', ' Maintenance Mécanique ', ' Mécanique Industrielle ', ' Production ', ' Qualité ', ' Réparation ', ' Réparation Mécanique']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Intérim,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/mecanicien-industriel-casablanca-region-8733255
Électricien Industriel - Casablanca Et Région,TECTRA,Casablanca-Mohammedia,"['Câblage ', ' Électromécanique ', ' Machines ', ' Maintenance ', ' Maintenance Industrielle ', ' Qualité']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Intérim,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/electricien-industriel-casablanca-region-8733272
Gestionnaire Achats - Casablanca,ENI,Casablanca-Mohammedia,"['Achats ', ' Stockage ', ' Stocks ', ' Transport ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/gestionnaire-achats-casablanca-8733273
"Développeur Junior Python, JavaScript, XML et PostgreSQL - Casablanca",CALLIOPE,Casablanca-Mohammedia,"['API ', ' JAVASCRIPT ', ' POSTGRESQL ', ' PYTHON ', ' REST ', ' XML']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans,CDI,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/developpeur-junior-python-javascript-xml-postgresql-casablanca-8733293
Superviseur Marketing Direct - Casablanca,ENI,Casablanca-Mohammedia,"['Comptabilité ', ' Finance ', ' Gestion ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/superviseur-marketing-direct-casablanca-8733318
Responsable Marketing Direct - Casablanca,ENI,Casablanca-Mohammedia,"['Communication ', ' Comptabilité ', ' Gestion ', "" Gestion d'Équipe "", ' Marketing ', ' Marketing Direct ', ' Vente']",Bac+4 & Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-marketing-direct-casablanca-8733332
Assistante Administrative et Commerciale  - Casablanca,TECTRA CASA BOURGOGNE – RECRUTEMENT,Casablanca-Mohammedia,"['Comptabilité ', ' Devis ', ' Finance ', ' Gestion ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Intérim,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/assistante-administrative-commerciale-casablanca-8733511
Sous Chef de Cuisine  - Agadir,TECTRA,Agadir,"['Cuisine ', ' Production Culinaire ', ' Restauration ', ' Tourisme']",Bac+2,Expérience entre 2 ans et 5 ans,Intérim,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/sous-chef-cuisine-agadir-8733739
Technicien Qualité - Casablanca,TECTRA AGENCE AIN SBAA,Casablanca-Mohammedia,"['Fabrication ', ' IATF 16949 ', ' Ishikawa ', ' Maintenance ', ' Métrologie ', ' Process ', ' Production ', ' QRQC ', ' Qualité']",Bac+2,Expérience entre 2 ans et 5 ans,CDI & Intérim,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicien-qualite-casablanca-8733766
Responsable Réseaux Sociaux (Community Manager)  - Casablanca,CALLIOPE,Casablanca-Mohammedia,"['Communication ', ' Communication Digitale ', ' Communication Marketing ', ' Marketing']",Bac+3 & Bac+4,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,CDI,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-reseaux-sociaux-community-manager-casablanca-8733767
Technicien Maintenance - Casablanca,TECTRA AGENCE AIN SBAA,Casablanca-Mohammedia,"['Automatisme ', ' Automatisme Mécanique ', ' Électricité Industrielle ', ' Hydraulique ', ' Hydraulique Pneumatique ', ' Machines ', ' Maintenance ', ' Maintenance Pneumatique ', ' Maintenance Préventive ', ' Mécanique Hydraulique ', ' Optique ', ' Pneumatique ', ' Qualité']",Bac+3,Expérience entre 2 ans et 5 ans,Intérim,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicien-maintenance-casablanca-8733775
Assistante Juridique  - Rabat,CABINET D’AVOCATS HIZOUNI,Rabat-Salé-Kénitra,['Gestion Administrative'],"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI & CDD,23.01.2025,https://www.emploi.ma/offre-emploi-maroc/assistante-juridique-rabat-8723575
Conseiller Commercial  - Casablanca,ENI,Casablanca-Mohammedia,"['Actions Commerciales ', ' Communication ', ' Marketing ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,22.01.2025,https://www.emploi.ma/offre-emploi-maroc/conseiller-commercial-casablanca-8721960
